ID;test_id;dep_type;lhs;rhs
56;0;FD;[328, 984];[782]
57;0;MVD;[910];[658, 411, 99, 444, 651, 962, 420, 241, 105, 868, 999]
58;0;FD;[198, 966, 405, 398];[931]
59;0;MVD;[286, 797];[503, 577]
60;0;FD;[832, 409];[981]
61;0;MVD;[977, 651];[4]
62;0;MVD;[364, 859, 622, 849, 694, 356, 481, 21, 361, 154];[444, 397, 300, 159, 38, 570, 313, 765, 326, 927, 896, 937, 43, 757, 846, 384, 177]
63;0;FD;[641, 447];[687]
64;0;MVD;[676, 900, 94, 259, 67];[665, 346]
65;0;FD;[966, 582, 795, 482, 950];[408]
66;0;MVD;[612, 866, 791, 124];[906, 873, 130, 601, 225]
67;0;FD;[542, 177, 124, 199];[720]
68;0;FD;[230];[610]
69;0;MVD;[774];[986, 106]
70;0;MVD;[976];[55, 486, 323]
71;0;MVD;[437, 116, 415, 31, 923, 586, 70, 767, 84];[33]
72;0;MVD;[254, 337, 793, 285, 523, 51];[645, 374, 511]
73;0;FD;[467, 447, 336, 590];[444]
74;0;MVD;[111, 912, 639, 881, 353, 508, 13, 311, 64, 590, 633, 30, 942, 714, 585, 523, 164, 742, 849, 755, 542];[727, 124, 891, 578]
75;0;MVD;[12];[419, 257, 446]
76;0;FD;[44, 552, 962];[521]
77;0;FD;[915, 421, 85, 432, 277, 865, 552, 336, 90, 335, 222, 353, 767];[175]
78;0;MVD;[9, 274];[527, 602, 559, 913]
79;0;FD;[589, 894, 60, 718, 2, 89, 521, 488];[827]
80;0;FD;[56, 757, 32, 142, 702];[786]
81;0;MVD;[71, 774, 577, 848, 823, 387, 77, 266, 607, 857, 15, 271, 415];[739, 761, 392, 696, 225, 173, 378, 785, 898, 294, 62, 428]
82;0;FD;[749, 224, 967, 700];[567]
83;0;MVD;[990, 902, 643, 891];[217, 355, 489, 122, 151, 153, 774, 337, 450, 647, 854, 137, 470]
84;0;FD;[462, 640, 328, 425];[678]
85;0;MVD;[900, 300, 834, 461, 218, 136];[192]
86;0;MVD;[134, 232, 898, 969];[841, 625, 393, 125]
87;0;MVD;[746];[807, 195, 326, 947, 833, 565, 656, 280]
88;0;MVD;[163, 556, 229, 801, 933, 225, 302, 538, 79, 908, 817, 257, 259, 547, 357];[468, 54, 890]
89;0;MVD;[504];[864]
90;0;MVD;[101];[571, 888]
91;0;MVD;[805];[741, 952]
92;0;FD;[406, 129, 812];[127]
93;0;FD;[352, 802, 969, 955, 986];[749]
94;0;FD;[568, 312, 554, 928, 517, 267, 291];[296]
95;0;MVD;[635, 866, 913, 653, 97];[510, 330, 136]
96;0;FD;[880];[822]
97;0;MVD;[855];[573, 62, 444, 200, 906, 587, 923]
98;0;FD;[884, 763];[25]
99;0;FD;[91];[135]
