ID,test_id,dep_type,lhs,rhs
52,0,FD,[742],[585]
53,0,MVD,"[937, 410, 24, 274, 911, 120, 310, 545]","[372, 234, 763, 382]"
54,0,MVD,[570],"[302, 357]"
55,0,MVD,[839],"[153, 934, 564, 196]"
56,0,MVD,"[965, 631]","[794, 74, 207, 683, 152, 487]"
57,0,FD,"[993, 565, 699, 218]",[380]
58,0,FD,"[629, 101, 901, 582]",[792]
59,0,FD,[112],[217]
60,0,MVD,"[707, 651, 948, 323]","[483, 371, 812, 518, 211, 316, 626]"
61,0,FD,"[211, 213, 932]",[54]
62,0,FD,"[47, 460, 212, 815, 155, 904, 138, 662, 421, 379, 905, 880, 549, 537, 202, 137, 600, 456]",[846]
63,0,FD,"[475, 245, 322, 649]",[121]
64,0,MVD,"[369, 802, 191, 947, 792, 853, 235, 692, 908, 671, 374, 468, 228]",[511]
65,0,MVD,"[635, 671, 993, 969, 120]",[955]
66,0,MVD,"[968, 555, 939, 604, 551, 597]","[126, 270, 599, 680, 915]"
67,0,MVD,"[891, 26, 569, 515]","[71, 37]"
68,0,FD,[34],[275]
69,0,FD,[66],[478]
70,0,FD,"[886, 129, 823]",[163]
71,0,FD,"[97, 64, 988]",[81]
72,0,MVD,"[614, 933, 691]","[445, 915, 595]"
73,0,MVD,"[984, 328]","[121, 882, 147]"
74,0,MVD,"[50, 32, 673, 767, 714, 923, 785, 396, 405, 155]","[927, 137, 63, 211]"
75,0,MVD,"[843, 877]",[525]
76,0,FD,[218],[807]
77,0,FD,"[995, 284]",[230]
78,0,MVD,"[911, 46, 842, 351]","[76, 597]"
79,0,MVD,[493],"[393, 290, 889, 459, 38, 564, 168, 694, 608, 118, 727]"
80,0,FD,"[967, 67]",[611]
81,0,MVD,[760],"[361, 337, 377]"
82,0,FD,"[641, 593, 539, 517]",[976]
83,0,FD,"[160, 117, 833, 516, 204, 71, 787, 498, 924, 275, 871]",[649]
84,0,MVD,[48],[882]
85,0,MVD,"[348, 795, 104, 576, 979, 147]","[685, 845, 980]"
86,0,FD,"[542, 257]",[292]
87,0,FD,"[404, 243, 125, 100, 766, 564, 935, 313, 572]",[938]
88,0,MVD,[983],[395]
89,0,MVD,"[509, 559, 496, 589, 998, 805, 597]","[932, 713, 595, 428, 392, 198, 445, 332, 343, 338, 773, 949, 549]"
90,0,MVD,"[929, 602, 411, 627, 695]","[76, 662, 772]"
91,0,FD,"[920, 995]",[557]
92,0,MVD,"[218, 241, 376]","[899, 75, 724, 272, 673, 928, 730]"
93,0,MVD,"[414, 549]","[707, 364, 258, 959, 385, 303]"
94,0,FD,[868],[256]
95,0,MVD,"[397, 800]","[130, 884, 857, 578, 911]"
96,0,FD,"[483, 116, 292, 917, 90, 552, 646]",[663]
97,0,MVD,[228],[209]
98,0,MVD,"[444, 651, 127, 237, 687, 459, 325]","[562, 498, 647, 600, 437, 482, 605]"
99,0,FD,"[509, 695, 341, 374, 577, 823, 894, 512, 731, 191, 174, 782]",[452]
