ID|test_id|dep_type|lhs|rhs
87|0|MVD|[406]|[279, 26]
88|0|MVD|[714, 28, 668, 486, 672, 443, 357, 75, 716, 801, 218, 523]|[621, 560, 100]
89|0|FD|[648, 515]|[543]
90|0|MVD|[394]|[499]
91|0|FD|[930]|[678]
92|0|FD|[737, 957]|[91]
93|0|FD|[273, 445, 437, 628, 145, 220, 159, 761]|[603]
94|0|FD|[499, 415, 974, 310, 849]|[328]
95|0|MVD|[443, 567, 410]|[466, 818, 460, 158]
96|0|MVD|[652]|[376, 780, 380]
97|0|FD|[637, 32, 566, 123]|[274]
98|0|FD|[201, 901, 62, 84, 236, 991]|[502]
99|0|MVD|[713, 696, 614, 421, 802, 153, 206]|[826]
